"food_category_id","description"
1,"dairy and egg products"
2,"spices and herbs"
3,"baby foods"
4,"fats and oils"
5,"poultry products"
6,"soups, sauces, and gravies"
7,"sausages and luncheon meats"
8,"breakfast cereals"
9,"fruits and fruit juices"
10,"pork products"
11,"vegetables and vegetable products"
12,"nut and seed products"
13,"beef products"
14,"beverages"
15,"finfish and shellfish products"
16,"legumes and legume products"
17,"lamb, veal, and game products"
18,"baked products"
19,"sweets"
20,"cereal grains and pasta"
21,"fast foods"
22,"meals, entrees, and side dishes"
23,"snacks"
24,"american indian/alaska native foods"
25,"restaurant foods"
26,"branded food products database"
27,"quality control materials"
28,"alcoholic beverages"
100, "others"
