fdc_id,description,food_category_id
321612,"broccoli, raw ",11
321613,"broccoli, raw, 2 bunches ",11
321614,"broccoli, raw, 3 bunches ",11
321615,"broccoli, raw, 3 bunches ",11
321618,"broccoli, cooked ",11
321621,"broccoli, raw ",11
321622,"broccoli, raw, ocean mist, 4 bunches; product of usa ",11
321623,"broccoli, raw, ocean mist, 4 bunches; product of usa ",11
321624,"broccoli, raw, 7 bunches ",11
321625,"broccoli, raw, ocean mist, 3 bunches; product of usa ",11
321628,"broccoli, cooked ",11
321631,"broccoli, raw ",11
321632,"broccoli, raw, 4 bunches; product of usa ",11
321633,"broccoli, raw, 4 bunches ",11
321634,"broccoli, raw, 4 bunches; product of usa ",11
321635,"broccoli, raw, 4 bunches ",11
321638,"broccoli, cooked ",11
321641,"broccoli, raw ",11
321642,"broccoli, raw, 1 bunch ",11
321643,"broccoli, raw, 1 bunch ",11
321644,"broccoli, raw, 3 ct ",11
321645,"broccoli, raw, 1 bunch ",11
321648,"broccoli, cooked ",11
323887,"salsa, tostitos chunky, medium ",6
323896,"salsa, tostitos chunky, medium ",6
323905,"salsa, tostitos chunky, medium ",6
323914,"salsa, tostitos chunky, medium ",6
323931,"salsa, tostitos chunky, medium ",6
323947,"salsa, tostitos chunky, medium ",6
323963,"salsa, pace chunky, medium ",6
323972,"salsa, pace chunky, medium ",6
323988,"salsa, pace chunky, medium ",6
324003,"salsa, pace chunky, medium ",6
324012,"salsa, pace chunky, medium ",6
324021,"salsa, pace chunky, medium ",6
324158,"onion rings, frozen, oven-heated, alexia ",11
324165,"onion rings, frozen, oven-heated, store brand/other ",11
324170,"onion rings, frozen, oven-heated, ore-ida ",11
324177,"onion rings, frozen, oven-heated, alexia ",11
324195,"onion rings, frozen, oven-heated, ore-ida ",11
324214,"onion rings, frozen, oven-heated, alexia ",11
324233,"onion rings, frozen, oven-heated, ore-ida ",11
324252,"onion rings, frozen, oven-heated, alexia ",11
324259,"onion rings, frozen, oven-heated, store brand/other, kroger ",11
324278,"onion rings, frozen, oven-heated, ore-ida ",11
324297,"onion rings, frozen, oven-heated, alexia ",11
324318,"pickles, kosher dill, spears, vlasic ",11
324325,"pickles, kosher dill, spears, vlasic ",11
324332,"pickles, kosher dill, spears, vlasic ",11
324339,"pickles, kosher dill, spears, vlasic ",11
324352,"pickles, kosher dill, spears, clausen ",11
324359,"pickles, kosher dill, spears, clausen ",11
324366,"pickles, kosher dill, spears, vlasic ",11
324383,"pickles, kosher dill, spears, vlasic ",11
324401,"pickles, kosher dill, spears, clausen ",11
324414,"pickles, kosher dill, spears, clausen ",11
324421,"pickles, kosher dill, spears, clausen ",11
324438,"pickles, kosher dill, spears, store brand, americas choice & shop rite ",11
324445,"pickles, kosher dill, spears, store brand, hy vee & publix ",11
